timestamp,food,confidence,salt_content

2025-04-24 19:49:30,rice,0.66,0.10
2025-04-24 19:49:50,bread,1.00,0.50
2025-04-24 19:50:26,rice,0.73,0.10
2025-04-24 20:05:29,bread,0.93,0.50
2025-04-24 20:05:51,pasta,0.86,0.30
2025-04-24 20:06:14,rice,0.92,0.10
2025-04-24 20:06:54,rice,0.91,0.10
2025-09-09 13:16:27,bread,1.00,0.50
2025-09-09 13:16:58,bread,1.00,0.50
2025-09-09 13:18:32,rice,0.80,0.10
2025-09-09 13:19:11,rice,1.00,0.10
2025-09-10 00:38:26,rice,0.47,0.10
2025-09-10 00:39:12,pasta,0.97,0.30
2025-09-10 00:39:40,rice,0.96,0.10
2025-09-10 00:40:16,pasta,1.00,0.30
2025-09-10 00:40:42,pasta,0.96,0.30
2025-09-10 00:41:03,salad,0.58,0.20
2025-09-10 00:41:48,pasta,0.88,0.30
2025-09-10 00:42:15,salad,0.88,0.20
2025-09-10 00:42:43,rice,0.47,0.10
2025-09-10 00:43:52,pasta,0.99,0.30
2025-09-10 00:45:34,pasta,1.00,0.30
2025-09-11 19:06:11,bread,0.96,0.50
2025-09-11 19:06:30,bread,0.99,0.50
2025-09-11 19:06:41,bread,0.98,0.50
2025-09-11 19:06:58,salad,0.97,0.20
2025-09-11 19:11:42,salad,0.97,0.20
2025-09-11 19:55:22,rice,0.99,0.10
2025-09-11 19:57:12,rice,0.99,0.10
2025-09-11 19:57:36,rice,0.99,0.10
2025-09-11 19:58:01,rice,0.99,0.10
2025-09-11 20:04:40,pasta,0.99,0.30
2025-09-11 20:05:31,pasta,0.99,0.30
2025-09-11 20:06:02,salad,0.99,0.20
2025-09-11 20:07:05,salad,0.99,0.20
2025-09-11 20:07:29,meat,0.89,0.70
2025-09-11 20:08:17,meat,0.89,0.70
2025-09-11 20:23:29,bread,1.00,0.50
2025-09-11 20:24:46,bread,1.00,0.50
2025-09-11 20:25:14,bread,1.00,0.50
2025-09-11 20:32:25,bread,1.00,0.50
2025-09-11 20:32:57,bread,1.00,0.50
2025-09-11 20:33:20,pasta,0.93,0.30
2025-09-11 20:33:54,pasta,0.93,0.30
2025-09-11 20:38:11,bread,1.00,0.50
2025-09-11 20:39:17,bread,1.00,0.50
2025-09-11 20:39:52,pasta,1.00,0.30
2025-09-11 20:41:08,pasta,1.00,0.30
